r_A,g_OH,n_OH,g_H2O
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,1.210535116948476160e-02,5.999700014999248760e-04,0.000000000000000000e+00
1.524999999999999911e+00,3.680485464073461610e-02,2.549872506374681238e-03,0.000000000000000000e+00
1.575000000000000178e+00,9.289842905859006794e-02,7.799610019499025881e-03,0.000000000000000000e+00
1.625000000000000000e+00,2.293942557828304307e-01,2.159892005399730031e-02,0.000000000000000000e+00
1.675000000000000266e+00,4.059924172326201397e-01,4.754762261886905789e-02,0.000000000000000000e+00
1.725000000000000089e+00,6.107061945069052200e-01,8.894555272236387422e-02,0.000000000000000000e+00
1.774999999999999911e+00,8.066628042301583479e-01,1.468426578671066240e-01,0.000000000000000000e+00
1.825000000000000178e+00,9.027656309304080695e-01,2.153392330383480657e-01,0.000000000000000000e+00
1.875000000000000000e+00,1.027560671628551914e+00,2.976351182440877263e-01,0.000000000000000000e+00
1.925000000000000266e+00,1.019886555053149069e+00,3.837308134593269693e-01,0.000000000000000000e+00
1.975000000000000089e+00,1.076368444644661082e+00,4.793760311984400224e-01,0.000000000000000000e+00
2.025000000000000355e+00,1.198886722336371724e+00,5.913704314784260507e-01,0.000000000000000000e+00
2.075000000000000178e+00,1.300332579122646548e+00,7.189140542972851655e-01,0.000000000000000000e+00
2.125000000000000000e+00,1.563069750701964189e+00,8.797060146992650154e-01,0.000000000000000000e+00
2.174999999999999822e+00,1.733279227163078584e+00,1.066496675166241692e+00,0.000000000000000000e+00
2.225000000000000089e+00,1.892988743925108963e+00,1.279986000699965043e+00,0.000000000000000000e+00
2.275000000000000355e+00,1.747935378469436918e+00,1.486075696215189090e+00,0.000000000000000000e+00
2.325000000000000178e+00,1.455131605549578211e+00,1.665266736663166602e+00,1.249254469050112759e-04
2.375000000000000000e+00,1.139263101464626837e+00,1.811659417029148234e+00,1.257068365424393076e-03
2.425000000000000266e+00,8.960842857704011122e-01,1.931703414829258225e+00,1.111983190834162256e-02
2.475000000000000089e+00,7.097644714906162777e-01,2.030748462576871027e+00,5.600285038903915491e-02
2.525000000000000355e+00,6.351170807739563440e-01,2.122993850307484553e+00,1.933022593141488221e-01
2.575000000000000178e+00,5.891769158995356914e-01,2.211989400529973171e+00,4.987380046949027035e-01
2.625000000000000000e+00,5.972041868052220259e-01,2.305734713264336211e+00,9.566210627998981142e-01
2.675000000000000266e+00,6.161870278972085835e-01,2.406179691015448707e+00,1.481598276468843789e+00
2.725000000000000089e+00,6.833371054435483094e-01,2.521773911304434623e+00,1.961646146320523920e+00
2.775000000000000355e+00,7.780667549932750449e-01,2.658267086645667465e+00,2.260098669266168869e+00
2.825000000000000178e+00,8.032945858242112047e-01,2.804309784510774062e+00,2.349572671590947959e+00
2.875000000000000000e+00,8.961449593307848627e-01,2.973051347432627889e+00,2.289869088330930946e+00
2.925000000000000266e+00,9.473440984590186797e-01,3.157692115394229670e+00,2.134623889694993171e+00
2.975000000000000089e+00,1.008758463082481294e+00,3.361081945902704149e+00,1.954938447522025724e+00
3.025000000000000355e+00,1.052197010654006393e+00,3.580420978951052380e+00,1.778254951509688375e+00
3.075000000000000178e+00,1.165181724135224917e+00,3.831408429578520458e+00,1.632337584050787438e+00
3.125000000000000000e+00,1.206403673577608915e+00,4.099795010249486893e+00,1.499383800693811608e+00
3.175000000000000266e+00,1.222046608665245060e+00,4.380430978451077095e+00,1.419348628655717315e+00
3.225000000000000089e+00,1.231504583202224667e+00,4.672216389180540830e+00,1.350356754845159601e+00
3.275000000000000355e+00,1.229793095779521783e+00,4.972701364931752188e+00,1.294737756130038164e+00
3.325000000000000178e+00,1.223656490016860277e+00,5.280885955702213863e+00,1.233409255598945320e+00
3.375000000000000000e+00,1.189402672015033025e+00,5.589520523973800614e+00,1.195682005905506218e+00
3.425000000000000266e+00,1.195341296342455895e+00,5.908954552272385641e+00,1.158128850127889020e+00
3.475000000000000089e+00,1.188634462213765897e+00,6.235938203089845366e+00,1.129747984269225292e+00
3.525000000000000355e+00,1.200723760574576859e+00,6.575821208939553131e+00,1.100688356407542035e+00
3.575000000000000178e+00,1.155179631281516128e+00,6.912154392280386084e+00,1.076834382020431580e+00
