r_A,g_OH,n_OH,g_H2O
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.192619138223004781e-05
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.269519977711733433e-03
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.006522534582331929e-02
1.425000000000000266e+00,2.161625496100156533e-03,1.999900004999749948e-04,3.926675853108073100e-01
1.475000000000000089e+00,1.412290969773222216e-02,1.599920003999799958e-03,1.487005300655814821e+00
1.524999999999999911e+00,4.246713997007840746e-02,6.099695015249237233e-03,2.822177379567085698e+00
1.575000000000000178e+00,1.101509944551853637e-01,1.854907254637268299e-02,2.707949506874528733e+00
1.625000000000000000e+00,2.119403450167455238e-01,4.404779761011949624e-02,1.312815398061487837e+00
1.675000000000000266e+00,4.001254747870620077e-01,9.519524023798811574e-02,3.369229597581593350e-01
1.725000000000000089e+00,5.992738925565948005e-01,1.764411779411029779e-01,6.174766892930248774e-02
1.774999999999999911e+00,8.237295043196565247e-01,2.946852657367131645e-01,3.967940790038723686e-02
1.825000000000000178e+00,1.027966703833165241e+00,4.506774661266936266e-01,7.296637426863089582e-02
1.875000000000000000e+00,1.037861249442568523e+00,6.169191540422978015e-01,1.304899927581380792e-01
1.925000000000000266e+00,1.070229387329291848e+00,7.976101194940252714e-01,2.152137096836659047e-01
1.975000000000000089e+00,9.818415765315909871e-01,9.721013949302534929e-01,3.234068283053457837e-01
2.025000000000000355e+00,1.001123934879546207e+00,1.159142042897855163e+00,4.547700115016312106e-01
2.075000000000000178e+00,9.960211131343204016e-01,1.354532273386330754e+00,6.008723543306812021e-01
2.125000000000000000e+00,1.067077001761866484e+00,1.574071296435178402e+00,7.588472838122545250e-01
2.174999999999999822e+00,1.138044417620725834e+00,1.819359032048397662e+00,9.058187379340688627e-01
2.225000000000000089e+00,1.210936476353966063e+00,2.092495375231238519e+00,1.040183276228632270e+00
2.275000000000000355e+00,1.361837571070984243e+00,2.413629318534073587e+00,1.152356717853147305e+00
2.325000000000000178e+00,1.412906804495684288e+00,2.761611919404030058e+00,1.226731452018530177e+00
2.375000000000000000e+00,1.410655182500001548e+00,3.124143792810359699e+00,1.274128578955152635e+00
2.425000000000000266e+00,1.354762997645379441e+00,3.487125643717814416e+00,1.283340566106726310e+00
2.475000000000000089e+00,1.279976564563466201e+00,3.844357782110894739e+00,1.269080996886065016e+00
2.525000000000000355e+00,1.144415574543641068e+00,4.176791160441977624e+00,1.236185601488348329e+00
2.575000000000000178e+00,1.034038587230420969e+00,4.489175541222938826e+00,1.188177690631587957e+00
2.625000000000000000e+00,9.090243995424552859e-01,4.774561271936404339e+00,1.140102606223617254e+00
2.675000000000000266e+00,8.624778110736439629e-01,5.055747212639369437e+00,1.082194639006814008e+00
2.725000000000000089e+00,8.328909875172660904e-01,5.337533123343833452e+00,1.029416338177829404e+00
2.775000000000000355e+00,8.443306819295154364e-01,5.633768311584422150e+00,9.929650364876794200e-01
2.825000000000000178e+00,8.460581284793515788e-01,5.941402929853508930e+00,9.566072982338135189e-01
2.875000000000000000e+00,8.997295391681080501e-01,6.280235988200590924e+00,9.301831490680968484e-01
2.925000000000000266e+00,9.307982835793525700e-01,6.643067846607670468e+00,9.133677888740748818e-01
2.975000000000000089e+00,9.906563569357209609e-01,7.042547872606371051e+00,9.041229485745172489e-01
3.025000000000000355e+00,1.060471639527396537e+00,7.484675766211689840e+00,9.012365387438485698e-01
3.075000000000000178e+00,1.097174105575140945e+00,7.957352132393380906e+00,9.035068337134330996e-01
3.125000000000000000e+00,1.160669108083375756e+00,8.473776311184442633e+00,9.072547248950142418e-01
3.175000000000000266e+00,1.207241839488470303e+00,9.028248587570622874e+00,9.229673830765835474e-01
3.225000000000000089e+00,1.229499906447526048e+00,9.610869456527174393e+00,9.355807476611220919e-01
3.275000000000000355e+00,1.240535880726015172e+00,1.021708914554272241e+01,9.507797537113259478e-01
3.325000000000000178e+00,1.282814444920336028e+00,1.086325683715814350e+01,9.723751613501044888e-01
3.375000000000000000e+00,1.226878586433779672e+00,1.149997500124993977e+01,9.933352882404076212e-01
3.425000000000000266e+00,1.226492388194235339e+00,1.215549222538873231e+01,1.015594675098376198e+00
3.475000000000000089e+00,1.199539365536827829e+00,1.281545922703864981e+01,1.045116148030563963e+00
3.525000000000000355e+00,1.170166948191611045e+00,1.347792610369481636e+01,1.064622078741653821e+00
3.575000000000000178e+00,1.133199106113679910e+00,1.413779311034448405e+01,1.091193054410718677e+00
