r_A,g_OH,n_OH,g_H2O
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,2.132167014048395523e-02,1.799910004499775170e-03,0.000000000000000000e+00
1.975000000000000089e+00,2.723274057543209614e-01,2.599870006499675062e-02,0.000000000000000000e+00
2.025000000000000355e+00,1.271676273335365703e+00,1.447927603619819092e-01,0.000000000000000000e+00
2.075000000000000178e+00,2.496169596222500786e+00,3.896305184740762595e-01,0.000000000000000000e+00
2.125000000000000000e+00,2.432575902445065719e+00,6.398680065996700250e-01,0.000000000000000000e+00
2.174999999999999822e+00,1.586210299162357007e+00,8.108094595270236571e-01,0.000000000000000000e+00
2.225000000000000089e+00,8.693561889548333532e-01,9.088545572721363763e-01,0.000000000000000000e+00
2.275000000000000355e+00,3.939427381363675429e-01,9.553022348882556081e-01,0.000000000000000000e+00
2.325000000000000178e+00,1.977257510889075254e-01,9.796510174491275258e-01,1.249254469050112759e-04
2.375000000000000000e+00,1.252878137539651104e-01,9.957502124893755635e-01,1.257068365424393076e-03
2.425000000000000266e+00,1.007674956926315202e-01,1.009249537523123852e+00,1.111983190834162256e-02
2.475000000000000089e+00,1.121435030674219485e-01,1.024898755062246813e+00,5.600285038903915491e-02
2.525000000000000355e+00,2.013785865868641944e-01,1.054147292635368327e+00,1.933022593141488221e-01
2.575000000000000178e+00,4.256637718240465773e-01,1.118444077796110214e+00,4.987380046949027035e-01
2.625000000000000000e+00,7.905390888802992233e-01,1.242537873106344781e+00,9.566210627998981142e-01
2.675000000000000266e+00,1.168884401849806798e+00,1.433078346082696131e+00,1.481598276468843789e+00
2.725000000000000089e+00,1.599871864950660472e+00,1.703714814259287058e+00,1.961646146320523920e+00
2.775000000000000355e+00,1.944596875208467246e+00,2.044847757612119565e+00,2.260098669266168869e+00
2.825000000000000178e+00,2.115901589637617874e+00,2.429528523573821541e+00,2.349572671590947959e+00
2.875000000000000000e+00,2.085694416457278599e+00,2.822258887055647314e+00,2.289869088330930946e+00
2.925000000000000266e+00,2.089390111548526274e+00,3.229488525573721791e+00,2.134623889694993171e+00
2.975000000000000089e+00,1.898489378898593261e+00,3.612269386530673643e+00,1.954938447522025724e+00
3.025000000000000355e+00,1.792596411586059535e+00,3.985950702464876816e+00,1.778254951509688375e+00
3.075000000000000178e+00,1.675122809379266497e+00,4.346782660866956860e+00,1.632337584050787438e+00
3.125000000000000000e+00,1.587562509342814732e+00,4.699965001749912830e+00,1.499383800693811608e+00
3.175000000000000266e+00,1.521625467301157553e+00,5.049397530123493461e+00,1.419348628655717315e+00
3.225000000000000089e+00,1.462358937901202305e+00,5.395880205989700862e+00,1.350356754845159601e+00
3.275000000000000355e+00,1.380396709505599784e+00,5.733163341832908877e+00,1.294737756130038164e+00
3.325000000000000178e+00,1.390013423604486542e+00,6.083245837708115111e+00,1.233409255598945320e+00
3.375000000000000000e+00,1.278805367594973985e+00,6.415079246037698191e+00,1.195682005905506218e+00
3.425000000000000266e+00,1.224902092213814075e+00,6.742412879356032285e+00,1.158128850127889020e+00
3.475000000000000089e+00,1.160645210351239909e+00,7.061696915154241694e+00,1.129747984269225292e+00
3.525000000000000355e+00,1.097925698107027115e+00,7.372481375931203118e+00,1.100688356407542035e+00
3.575000000000000178e+00,1.079278130311331685e+00,7.686715664216789534e+00,1.076834382020431580e+00
