# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.0007237103850;  1.495955486E-05
88.33333333;  0.07243616176;  0.001631983914
91.66666667;  2.037268002;  0.05060752657
95.00000000;  10.96130344;  0.3336257015
98.33333333;  14.30623530;  0.7293829084
101.6666667;  5.768330106;  0.8999544361
105.0000000;  1.048970716;  0.9330400193
108.3333333;  0.1823396701;  0.9391621134
111.6666667;  0.04867576049;  0.9408985241
115.0000000;  0.02069873945;  0.9416816478
118.3333333;  0.01852106521;  0.9424235886
121.6666667;  0.01918230647;  0.9432359168
125.0000000;  0.02428796158;  0.9443215852
128.3333333;  0.02330905680;  0.9454198029
131.6666667;  0.02564424009;  0.9466916212
135.0000000;  0.02873640499;  0.9481898647
138.3333333;  0.03347802038;  0.9500225792
141.6666667;  0.05183541753;  0.9529986438
145.0000000;  0.07080255291;  0.9572572199
148.3333333;  0.1122281854;  0.9643213402
151.6666667;  0.1661837670;  0.9752570437
155.0000000;  0.2544705743;  0.9927465707
158.3333333;  0.3406910220;  1.017179852
161.6666667;  0.4583928269;  1.051453042
165.0000000;  0.5954160565;  1.097825868
168.3333333;  0.7377122470;  1.157625952
171.6666667;  0.8927235193;  1.232885729
175.0000000;  1.001935140;  1.320664440
178.3333333;  1.071194957;  1.418119991
181.6666667;  1.153624667;  1.527034960
185.0000000;  1.155374563;  1.640154692
188.3333333;  1.169688266;  1.758839797
191.6666667;  1.122244551;  1.876777317
195.0000000;  1.058883862;  1.991960344
198.3333333;  0.9763913219;  2.101832063
201.6666667;  0.8758330024;  2.203728686
205.0000000;  0.7640051746;  2.295577585
208.3333333;  0.6946714044;  2.381829068
211.6666667;  0.6045333654;  2.459309949
215.0000000;  0.5564382030;  2.532890481
218.3333333;  0.4919364396;  2.599974315
221.6666667;  0.4400337123;  2.661826533
225.0000000;  0.4092925848;  2.721100940
228.3333333;  0.3796313795;  2.777720802
231.6666667;  0.3502014245;  2.831487438
235.0000000;  0.3378985841;  2.884868811
238.3333333;  0.3158702134;  2.936195788
241.6666667;  0.3146282300;  2.988761002
245.0000000;  0.3307342227;  3.045551852
248.3333333;  0.3212709796;  3.102229055
251.6666667;  0.3372971531;  3.163341658
255.0000000;  0.3617531271;  3.230633001
258.3333333;  0.3929714653;  3.305654943
261.6666667;  0.4147144537;  3.386884149
265.0000000;  0.4611781852;  3.479530131
268.3333333;  0.5014723051;  3.582821052
271.6666667;  0.5864083210;  3.706626183
275.0000000;  0.6185061584;  3.840432030
278.3333333;  0.6915165022;  3.993681345
281.6666667;  0.7581142290;  4.165737806
285.0000000;  0.8284323121;  4.358229530
288.3333333;  0.9121632296;  4.575163450
291.6666667;  1.005745883;  4.819915844
295.0000000;  1.093737463;  5.092199831
298.3333333;  1.158132142;  5.387067092
301.6666667;  1.235925418;  5.708812007
305.0000000;  1.314704927;  6.058670687
308.3333333;  1.388786658;  6.436365553
311.6666667;  1.465999134;  6.843726064
315.0000000;  1.539854035;  7.280810233
318.3333333;  1.567281493;  7.735144578
321.6666667;  1.557083381;  8.196024972
325.0000000;  1.570432122;  8.670540097
328.3333333;  1.576443328;  9.156692464
331.6666667;  1.596471645;  9.659068458
335.0000000;  1.565425027;  10.16162604
338.3333333;  1.527554597;  10.66183353
341.6666667;  1.512031633;  11.16676205
345.0000000;  1.463874741;  11.66519397
348.3333333;  1.436806736;  12.16390859
351.6666667;  1.397590343;  12.65833985
355.0000000;  1.358287714;  13.14801947
358.3333333;  1.326005887;  13.63508048
361.6666667;  1.288727291;  14.11729627
365.0000000;  1.242375785;  14.59077675
368.3333333;  1.235866723;  15.07041854
371.6666667;  1.200483575;  15.54479892
375.0000000;  1.183519167;  16.02090207
378.3333333;  1.131863651;  16.48435592
381.6666667;  1.134031356;  16.95691558
385.0000000;  1.118072689;  17.43099879
388.3333333;  1.095702012;  17.90367618
391.6666667;  1.089477495;  18.38177147
395.0000000;  1.058987202;  18.85443037
398.3333333;  1.049469660;  19.33078028
401.6666667;  1.028149692;  19.80529620
405.0000000;  1.021646741;  20.28466925
408.3333333;  1.015397989;  20.76898516
411.6666667;  1.023112023;  21.26498019
415.0000000;  1.022607673;  21.76879153
418.3333333;  1.013035334;  22.27593659
421.6666667;  1.002936225;  22.78605909
425.0000000;  1.000559407;  23.30305050
428.3333333;  0.9937624059;  23.82461600
431.6666667;  0.9834181621;  24.34881691
435.0000000;  0.9755185250;  24.87686871
438.3333333;  0.9852623378;  25.41839972
441.6666667;  0.9880695617;  25.96976471
445.0000000;  0.9682375074;  26.51824916
448.3333333;  0.9718612508;  27.07706497
451.6666667;  0.9680111051;  27.64197431
455.0000000;  0.9604620611;  28.21078180
458.3333333;  0.9677591945;  28.79233905
461.6666667;  0.9507419358;  29.37201053
465.0000000;  0.9559013631;  29.96327422
468.3333333;  0.9460991418;  30.55689484
471.6666667;  0.9326125787;  31.15041272
475.0000000;  0.9480354343;  31.76230353
478.3333333;  0.9390040018;  32.37690112
481.6666667;  0.9405717031;  33.00113479
485.0000000;  0.9462831420;  33.63788142
488.3333333;  0.9483378030;  34.28481225
491.6666667;  0.9682902586;  34.95440249
495.0000000;  0.9693101353;  35.63381753
498.3333333;  0.9591334922;  36.31518424
