# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.0005757985958;  1.205471525E-05
88.33333333;  0.1461155554;  0.003315674620
91.66666667;  4.385849353;  0.1101024055
95.00000000;  23.14355352;  0.7153243364
98.33333333;  29.65435250;  1.546177739
101.6666667;  11.84470775;  1.900920279
105.0000000;  1.972022037;  1.963917252
108.3333333;  0.2383035845;  1.972020925
111.6666667;  0.04736520496;  1.973732247
115.0000000;  0.01825466064;  1.974431755
118.3333333;  0.01012966995;  1.974842744
121.6666667;  0.007552565211;  1.975166679
125.0000000;  0.007561193771;  1.975508997
128.3333333;  0.008835575507;  1.975930626
131.6666667;  0.01188291342;  1.976527511
135.0000000;  0.01582101236;  1.977362954
138.3333333;  0.02172052491;  1.978567263
141.6666667;  0.03099169680;  1.980369424
145.0000000;  0.04294689338;  1.982985677
148.3333333;  0.06403653597;  1.987068085
151.6666667;  0.09953214133;  1.993701757
155.0000000;  0.1517890961;  2.004267829
158.3333333;  0.2283994654;  2.020857916
161.6666667;  0.3357046128;  2.046279729
165.0000000;  0.4602892525;  2.082588065
168.3333333;  0.5974961145;  2.131642962
171.6666667;  0.7296256555;  2.193941598
175.0000000;  0.8550670410;  2.269813723
178.3333333;  0.9514035844;  2.357480558
181.6666667;  1.008028232;  2.453869725
185.0000000;  1.030108864;  2.556018034
188.3333333;  1.023496016;  2.661200834
191.6666667;  0.9909407360;  2.766674650
195.0000000;  0.9407011292;  2.870313912
198.3333333;  0.8708051648;  2.969560478
201.6666667;  0.7961979813;  3.063379748
205.0000000;  0.7263315322;  3.151818996
208.3333333;  0.6539645422;  3.234057242
211.6666667;  0.5885268191;  3.310453665
215.0000000;  0.5295003462;  3.381369744
218.3333333;  0.4817420583;  3.447905629
221.6666667;  0.4400044642;  3.510546660
225.0000000;  0.4069577315;  3.570238523
228.3333333;  0.3778198460;  3.627310638
231.6666667;  0.3563439063;  3.682721738
235.0000000;  0.3444607891;  3.737837479
238.3333333;  0.3338100976;  3.792774989
241.6666667;  0.3331836143;  3.849153925
245.0000000;  0.3379690955;  3.907931100
248.3333333;  0.3460999027;  3.969771299
251.6666667;  0.3594562467;  4.035733726
255.0000000;  0.3814457820;  4.107597863
258.3333333;  0.4097909421;  4.186833787
261.6666667;  0.4417370413;  4.274465105
265.0000000;  0.4813264975;  4.372398338
268.3333333;  0.5249480013;  4.481910909
271.6666667;  0.5799296557;  4.605917944
275.0000000;  0.6356537812;  4.745196478
278.3333333;  0.6994509252;  4.902191446
281.6666667;  0.7665185497;  5.078385600
285.0000000;  0.8416232079;  5.276449453
288.3333333;  0.9156482223;  5.497004016
291.6666667;  0.9988594961;  5.743196946
295.0000000;  1.077726607;  6.014934778
298.3333333;  1.155648167;  6.312941845
301.6666667;  1.233320177;  6.638124786
305.0000000;  1.303130299;  6.989349197
308.3333333;  1.368462447;  7.366288063
311.6666667;  1.427983201;  7.768172141
315.0000000;  1.475247815;  8.192286513
318.3333333;  1.516084711;  8.637414109
321.6666667;  1.544522036;  9.100437533
325.0000000;  1.560619548;  9.578033247
328.3333333;  1.565354708;  10.06695493
331.6666667;  1.561209395;  10.56453309
335.0000000;  1.547293907;  11.06763836
338.3333333;  1.522874895;  11.57270672
341.6666667;  1.496682478;  12.07891726
345.0000000;  1.463841332;  12.58372782
348.3333333;  1.429257841;  13.08618241
351.6666667;  1.391212397;  13.58466724
355.0000000;  1.354953108;  14.07940722
358.3333333;  1.316672691;  14.56924044
361.6666667;  1.277224178;  15.05327907
365.0000000;  1.243765946;  15.53336641
368.3333333;  1.212781880;  16.01008332
371.6666667;  1.184230879;  16.48404079
375.0000000;  1.157410050;  16.95561005
378.3333333;  1.133006224;  17.42547946
381.6666667;  1.112186063;  17.89487777
385.0000000;  1.092467338;  18.36404264
388.3333333;  1.076403809;  18.83434817
391.6666667;  1.065044666;  19.30771357
395.0000000;  1.051596183;  19.78309107
398.3333333;  1.039509690;  20.26096928
401.6666667;  1.030581437;  20.74270543
405.0000000;  1.022082194;  21.22843123
408.3333333;  1.014234116;  21.71839407
411.6666667;  1.005847491;  22.21227103
415.0000000;  0.9951199186;  22.70882538
418.3333333;  0.9887779519;  23.21017290
421.6666667;  0.9817340212;  23.71591312
425.0000000;  0.9751197345;  24.22621936
428.3333333;  0.9669686408;  24.74022890
431.6666667;  0.9618771644;  25.25952092
435.0000000;  0.9537139197;  25.78238837
438.3333333;  0.9472590050;  26.30970647
441.6666667;  0.9438863729;  26.84316895
445.0000000;  0.9373395485;  27.38095786
448.3333333;  0.9328339075;  27.92420973
451.6666667;  0.9332200656;  28.47579794
455.0000000;  0.9276283589;  29.03220368
458.3333333;  0.9224705992;  29.59365251
461.6666667;  0.9218536106;  30.16291653
465.0000000;  0.9211693797;  30.74000196
468.3333333;  0.9216161015;  31.32567452
471.6666667;  0.9214557374;  31.91961032
475.0000000;  0.9223273985;  32.52254041
478.3333333;  0.9249955516;  33.13573109
481.6666667;  0.9273252186;  33.75906369
485.0000000;  0.9291639987;  34.39230670
488.3333333;  0.9316862710;  35.03602666
491.6666667;  0.9374564840;  35.69260592
495.0000000;  0.9434792002;  36.36239370
498.3333333;  0.9463548666;  37.04330158
