# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.0001664572366;  9.602748569E-06
141.6666667;  0.001817313518;  0.0001195548221
145.0000000;  0.004509373424;  0.0004053727793
148.3333333;  0.01887559775;  0.001657402625
151.6666667;  0.03300877630;  0.003946400395
155.0000000;  0.07302384744;  0.009235272008
158.3333333;  0.1282310252;  0.01892634900
161.6666667;  0.1918863935;  0.03404519745
165.0000000;  0.2942988877;  0.05819921953
168.3333333;  0.4401889565;  0.09580129011
171.6666667;  0.5694474934;  0.1463904491
175.0000000;  0.7145661694;  0.2123609617
178.3333333;  0.8736109960;  0.2961165841
181.6666667;  1.009353935;  0.3965375374
185.0000000;  1.059338917;  0.5058345554
188.3333333;  1.043222517;  0.6173823159
191.6666667;  1.068453506;  0.7357077031
195.0000000;  1.034837179;  0.8543310030
198.3333333;  0.9910174325;  0.9718481173
201.6666667;  1.000834009;  1.094552016
205.0000000;  1.020753297;  1.223869207
208.3333333;  1.006009485;  1.355496832
211.6666667;  1.067691104;  1.499700969
215.0000000;  1.102865145;  1.653384104
218.3333333;  1.159014094;  1.819938240
221.6666667;  1.199001765;  1.997539879
225.0000000;  1.286193700;  2.193829590
228.3333333;  1.401795268;  2.414147152
231.6666667;  1.429638510;  2.645448950
235.0000000;  1.413070099;  2.880696383
238.3333333;  1.425136400;  3.124730904
241.6666667;  1.377302317;  3.367217562
245.0000000;  1.343323550;  3.610291096
248.3333333;  1.255533387;  3.843703001
251.6666667;  1.166311845;  4.066387819
255.0000000;  1.106423664;  4.283271153
258.3333333;  1.018361394;  4.488145238
261.6666667;  0.9297145187;  4.680043248
265.0000000;  0.8970392851;  4.869944189
268.3333333;  0.8582998949;  5.056243854
271.6666667;  0.8364125730;  5.242331220
275.0000000;  0.8430934572;  5.434536186
278.3333333;  0.8501054124;  5.633066392
281.6666667;  0.8472534281;  5.835698140
285.0000000;  0.8806190629;  6.051324044
288.3333333;  0.9152860229;  6.280711441
291.6666667;  0.9350578981;  6.520503616
295.0000000;  0.9573521100;  6.771656709
298.3333333;  1.015302947;  7.044065994
301.6666667;  1.061366236;  7.335233237
305.0000000;  1.081556575;  7.638532548
308.3333333;  1.115930244;  7.958348715
311.6666667;  1.160873952;  8.298277622
315.0000000;  1.198478716;  8.656764832
318.3333333;  1.215081923;  9.027951135
321.6666667;  1.246652314;  9.416798832
325.0000000;  1.229524033;  9.808293391
328.3333333;  1.259112661;  10.21747533
331.6666667;  1.299449990;  10.64838382
335.0000000;  1.260298477;  11.07475201
338.3333333;  1.235132276;  11.50096309
341.6666667;  1.239193862;  11.93704302
345.0000000;  1.229535450;  12.37820777
348.3333333;  1.192919431;  12.81454541
351.6666667;  1.176497456;  13.25315168
355.0000000;  1.179600365;  13.70129092
358.3333333;  1.131643494;  14.13932244
361.6666667;  1.127246275;  14.58380736
365.0000000;  1.096837652;  15.02431077
368.3333333;  1.110969813;  15.47867637
371.6666667;  1.080925425;  15.92879196
375.0000000;  1.072743770;  16.38354915
378.3333333;  1.053483165;  16.83811604
381.6666667;  1.047602865;  17.29814596
385.0000000;  1.046148648;  17.76559660
388.3333333;  1.035719026;  18.23643528
391.6666667;  1.030358649;  18.71291284
395.0000000;  1.032042760;  19.19832722
398.3333333;  1.020661388;  19.68652489
401.6666667;  1.018210938;  20.18173558
405.0000000;  1.009313882;  20.68080037
408.3333333;  1.021113400;  21.19404478
411.6666667;  1.007073731;  21.70853039
415.0000000;  1.014923351;  22.23545678
418.3333333;  1.016538615;  22.77173394
421.6666667;  1.003115718;  23.30939678
425.0000000;  1.006325905;  23.85734171
428.3333333;  1.003911791;  24.41258034
431.6666667;  1.002384640;  24.97563657
435.0000000;  0.9929465379;  25.54203845
438.3333333;  1.004741868;  26.12398590
441.6666667;  0.9848187412;  26.70310220
445.0000000;  0.9822561495;  27.28946309
448.3333333;  0.9596409910;  27.87093806
451.6666667;  0.9528289875;  28.45690241
455.0000000;  0.9528909184;  29.05158620
458.3333333;  0.9427137905;  29.64857041
461.6666667;  0.9403803763;  30.25277033
465.0000000;  0.9328324564;  30.86080675
468.3333333;  0.9257491243;  31.47290827
471.6666667;  0.9191263737;  32.08931247
475.0000000;  0.9189566378;  32.71434439
478.3333333;  0.9268426930;  33.35361872
481.6666667;  0.9414657573;  34.01206087
485.0000000;  0.9353379391;  34.67530271
488.3333333;  0.9418412402;  35.35236763
491.6666667;  0.9428370909;  36.03943296
495.0000000;  0.9420363447;  36.73525451
498.3333333;  0.9401650687;  37.43907805
