wB97    MACE-POLAR    B3LYP     PBE0     CCSD(T)
-4141.078011400225      -4141.062062020712      -4140.815680781243      -4138.152534191379      -4135.960181599195
-4141.077465166263      -4141.060231915291      -4140.8155289626075     -4138.154425088879      -4135.9591546987385
-4141.073969947458      -4141.055243259538      -4140.814122726723      -4138.153148620285      -4135.955611486939
-4141.066577317643      -4141.048553492791      -4140.810658019364      -4138.149686803075      -4135.948807829045
-4141.05305233665       -4141.033968230424      -4140.800013113672      -4138.139603021279      -4135.93513923392
-4141.032077877772      -4141.012092331069      -4140.783570087181      -4138.123510488923      -4135.9139806404655
-4141.001820344678      -4140.980549965024      -4140.760036420088      -4138.099232591973      -4135.883062860721
-4140.959729981297      -4140.936410944109      -4140.728155648033      -4138.065322033762      -4135.839680577739
-4140.903179859279      -4140.877735900884      -4140.686267882427      -4138.019582664468      -4135.7805515344635
-4140.913363159672      -4140.901221691153      -4140.751894171637      -4138.063203204413      -4135.740339002681
-4140.865281006641      -4140.8530785146595     -4140.721571814789      -4138.03218163307       -4135.681538168748
-4140.8099699590875     -4140.799370784887      -4140.685345651901      -4137.995737002508      -4135.61331503618
-4140.750046135771      -4140.742603157136      -4140.645002864385      -4137.955213140196      -4135.538082406384
-4140.6916273917395     -4140.684606148571      -4140.605244179555      -4137.915727937823      -4135.464510290603
-4140.649181522674      -4140.645086217322      -4140.578443334024      -4137.886890955136      -4135.411163749144
-4140.660021075711      -4140.663170296297      -4140.590144676499      -4137.888057703803      -4135.428688524667
-4140.900262724356      -4140.879467482573      -4140.653909832294      -4137.976698972583      -4135.778136128083
-4141.0583441625095     -4141.041283096432      -4140.801445478474      -4138.13503839552       -4135.939588398476
-4141.043206127669      -4141.027931828111      -4140.778223423439      -4138.121011857932      -4135.927552306537
-4140.868519809972      -4140.882959665032      -4140.597185056473      -4137.950186732128      -4135.750074447988
-4140.169542087933      -4140.176642213788      -4139.8955469260945     -4137.252324986745      -4135.04709173935

