# Distance / pm;  g(r);  O-O
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.000000000;  0.000000000
98.33333333;  0.000000000;  0.000000000
101.6666667;  0.000000000;  0.000000000
105.0000000;  0.000000000;  0.000000000
108.3333333;  0.000000000;  0.000000000
111.6666667;  0.000000000;  0.000000000
115.0000000;  0.000000000;  0.000000000
118.3333333;  0.000000000;  0.000000000
121.6666667;  0.000000000;  0.000000000
125.0000000;  0.000000000;  0.000000000
128.3333333;  0.000000000;  0.000000000
131.6666667;  0.000000000;  0.000000000
135.0000000;  0.000000000;  0.000000000
138.3333333;  0.000000000;  0.000000000
141.6666667;  0.000000000;  0.000000000
145.0000000;  0.000000000;  0.000000000
148.3333333;  0.000000000;  0.000000000
151.6666667;  0.000000000;  0.000000000
155.0000000;  0.000000000;  0.000000000
158.3333333;  0.000000000;  0.000000000
161.6666667;  0.000000000;  0.000000000
165.0000000;  0.000000000;  0.000000000
168.3333333;  0.000000000;  0.000000000
171.6666667;  0.000000000;  0.000000000
175.0000000;  0.000000000;  0.000000000
178.3333333;  0.000000000;  0.000000000
181.6666667;  0.000000000;  0.000000000
185.0000000;  0.000000000;  0.000000000
188.3333333;  0.000000000;  0.000000000
191.6666667;  0.000000000;  0.000000000
195.0000000;  0.000000000;  0.000000000
198.3333333;  0.000000000;  0.000000000
201.6666667;  0.000000000;  0.000000000
205.0000000;  0.000000000;  0.000000000
208.3333333;  0.000000000;  0.000000000
211.6666667;  0.000000000;  0.000000000
215.0000000;  0.000000000;  0.000000000
218.3333333;  0.000000000;  0.000000000
221.6666667;  0.000000000;  0.000000000
225.0000000;  0.000000000;  0.000000000
228.3333333;  0.0004928136069;  0.0004928136069
231.6666667;  0.002457921287;  0.002457921287
235.0000000;  0.01896749502;  0.01896749502
238.3333333;  0.07473918414;  0.07473918414
241.6666667;  0.2160767183;  0.2160767183
245.0000000;  0.4750444540;  0.4750444540
248.3333333;  0.8446883888;  0.8446883888
251.6666667;  1.248835191;  1.248835191
255.0000000;  1.639184847;  1.639184847
258.3333333;  1.913861090;  1.913861090
261.6666667;  2.027576876;  2.027576876
265.0000000;  2.032326654;  2.032326654
268.3333333;  1.920429298;  1.920429298
271.6666667;  1.671764150;  1.671764150
275.0000000;  1.428087505;  1.428087505
278.3333333;  1.143241759;  1.143241759
281.6666667;  0.9704281531;  0.9704281531
285.0000000;  0.8293365703;  0.8293365703
288.3333333;  0.7010892515;  0.7010892515
291.6666667;  0.6015189279;  0.6015189279
295.0000000;  0.5021827044;  0.5021827044
298.3333333;  0.5044859314;  0.5044859314
301.6666667;  0.5145722211;  0.5145722211
305.0000000;  0.4947471246;  0.4947471246
308.3333333;  0.5393031076;  0.5393031076
311.6666667;  0.5948061333;  0.5948061333
315.0000000;  0.6345684689;  0.6345684689
318.3333333;  0.6362381618;  0.6362381618
321.6666667;  0.6392372868;  0.6392372868
325.0000000;  0.6649767540;  0.6649767540
328.3333333;  0.6996823263;  0.6996823263
331.6666667;  0.7420158133;  0.7420158133
335.0000000;  0.7727090329;  0.7727090329
338.3333333;  0.8216053798;  0.8216053798
341.6666667;  0.8521997236;  0.8521997236
345.0000000;  0.8793566603;  0.8793566603
348.3333333;  0.9104770498;  0.9104770498
351.6666667;  0.9056057080;  0.9056057080
355.0000000;  0.9084170481;  0.9084170481
358.3333333;  0.9128797346;  0.9128797346
361.6666667;  0.9561343035;  0.9561343035
365.0000000;  0.9667154094;  0.9667154094
368.3333333;  0.9632460873;  0.9632460873
371.6666667;  0.9802489020;  0.9802489020
375.0000000;  0.9925654543;  0.9925654543
378.3333333;  0.9947017650;  0.9947017650
381.6666667;  0.9811966619;  0.9811966619
385.0000000;  0.9877117187;  0.9877117187
388.3333333;  0.9598141984;  0.9598141984
391.6666667;  0.9669415387;  0.9669415387
395.0000000;  0.9429343170;  0.9429343170
398.3333333;  0.9456344564;  0.9456344564
401.6666667;  0.9691995311;  0.9691995311
405.0000000;  0.9939114598;  0.9939114598
408.3333333;  0.9778615216;  0.9778615216
411.6666667;  0.9971840157;  0.9971840157
415.0000000;  0.9984217662;  0.9984217662
418.3333333;  0.9934378375;  0.9934378375
421.6666667;  0.9584494049;  0.9584494049
425.0000000;  0.9598013737;  0.9598013737
428.3333333;  0.9805639124;  0.9805639124
431.6666667;  0.9766850036;  0.9766850036
435.0000000;  0.9667536075;  0.9667536075
438.3333333;  0.9945484393;  0.9945484393
441.6666667;  1.002456222;  1.002456222
445.0000000;  1.014565539;  1.014565539
448.3333333;  1.020950203;  1.020950203
451.6666667;  1.020661217;  1.020661217
455.0000000;  1.036062946;  1.036062946
458.3333333;  1.039166171;  1.039166171
461.6666667;  1.060196633;  1.060196633
465.0000000;  1.068918844;  1.068918844
468.3333333;  1.076375678;  1.076375678
471.6666667;  1.098373190;  1.098373190
475.0000000;  1.113282790;  1.113282790
478.3333333;  1.121879442;  1.121879442
481.6666667;  1.126780866;  1.126780866
485.0000000;  1.125625866;  1.125625866
488.3333333;  1.134002951;  1.134002951
491.6666667;  1.159299012;  1.159299012
495.0000000;  1.179445722;  1.179445722
498.3333333;  1.179751889;  1.179751889
501.6666667;  1.183456501;  1.183456501
505.0000000;  1.189143369;  1.189143369
508.3333333;  1.172953628;  1.172953628
511.6666667;  1.124110353;  1.124110353
515.0000000;  1.118651206;  1.118651206
518.3333333;  1.110427658;  1.110427658
521.6666667;  1.097057358;  1.097057358
525.0000000;  1.063504102;  1.063504102
528.3333333;  1.011621165;  1.011621165
531.6666667;  0.9678099211;  0.9678099211
535.0000000;  0.9512408439;  0.9512408439
538.3333333;  0.9152120430;  0.9152120430
541.6666667;  0.9127683022;  0.9127683022
545.0000000;  0.9196720228;  0.9196720228
548.3333333;  0.9082957345;  0.9082957345
551.6666667;  0.9038477508;  0.9038477508
555.0000000;  0.9240169296;  0.9240169296
558.3333333;  0.9263517240;  0.9263517240
561.6666667;  0.9264477375;  0.9264477375
565.0000000;  0.9308554999;  0.9308554999
568.3333333;  0.9519378072;  0.9519378072
571.6666667;  0.9588476161;  0.9588476161
575.0000000;  0.9610725029;  0.9610725029
578.3333333;  0.9660122188;  0.9660122188
581.6666667;  0.9805431240;  0.9805431240
585.0000000;  0.9885252511;  0.9885252511
588.3333333;  1.011390802;  1.011390802
591.6666667;  1.023880733;  1.023880733
595.0000000;  1.019034368;  1.019034368
598.3333333;  1.033139332;  1.033139332
601.6666667;  1.034574549;  1.034574549
605.0000000;  1.048631449;  1.048631449
608.3333333;  1.067124342;  1.067124342
611.6666667;  1.050543211;  1.050543211
615.0000000;  1.044837921;  1.044837921
618.3333333;  1.057567092;  1.057567092
621.6666667;  1.051273786;  1.051273786
625.0000000;  1.054902833;  1.054902833
628.3333333;  1.069024369;  1.069024369
631.6666667;  1.070735812;  1.070735812
635.0000000;  1.074624380;  1.074624380
638.3333333;  1.066644526;  1.066644526
641.6666667;  1.070140823;  1.070140823
645.0000000;  1.070114202;  1.070114202
648.3333333;  1.067729141;  1.067729141
651.6666667;  1.064419013;  1.064419013
655.0000000;  1.061016687;  1.061016687
658.3333333;  1.058655448;  1.058655448
661.6666667;  1.078074146;  1.078074146
665.0000000;  1.073296619;  1.073296619
668.3333333;  1.066616372;  1.066616372
671.6666667;  1.060249136;  1.060249136
675.0000000;  1.049880794;  1.049880794
678.3333333;  1.065541819;  1.065541819
681.6666667;  1.059112585;  1.059112585
685.0000000;  1.050504185;  1.050504185
688.3333333;  1.049981379;  1.049981379
691.6666667;  1.040773722;  1.040773722
695.0000000;  1.022208619;  1.022208619
698.3333333;  1.011330801;  1.011330801
